epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5507.31,0.6835,0.4297,0.8673,0.90463,0.84909,0.93425,0.74083,0.80646,0.58443,0.98904,0.0011882,0.0011882,0.0011882
43,5599.27,0.65691,0.42792,0.86605,0.89906,0.87468,0.92084,0.71828,0.86521,0.66803,1.02663,0.0011684,0.0011684,0.0011684
44,5690.64,0.65895,0.42042,0.86775,0.91148,0.82097,0.91132,0.72971,0.78765,0.6929,0.99667,0.0011486,0.0011486,0.0011486
45,5782.31,0.67577,0.41684,0.87397,0.87977,0.80563,0.89772,0.7151,0.79709,0.6811,1.00739,0.0011288,0.0011288,0.0011288
46,5871.09,0.67843,0.41628,0.87005,0.9097,0.8133,0.89901,0.72191,0.80698,0.76839,1.01038,0.001109,0.001109,0.001109
47,5960.1,0.66882,0.41638,0.86741,0.95276,0.76982,0.87773,0.70661,0.8178,0.82354,1.00908,0.0010892,0.0010892,0.0010892
48,6048.38,0.64863,0.39519,0.85721,0.95372,0.73795,0.88276,0.71244,0.81563,0.93044,1.01141,0.0010694,0.0010694,0.0010694
49,6138.74,0.63893,0.39034,0.86399,0.92683,0.82353,0.90839,0.72607,0.82292,0.67371,1.01201,0.0010496,0.0010496,0.0010496
50,6231.4,0.65527,0.40489,0.86882,0.90601,0.80563,0.89626,0.70809,0.8077,0.73672,0.99688,0.0010298,0.0010298,0.0010298
51,6324.05,0.67684,0.42123,0.86888,0.91252,0.7954,0.90691,0.72736,0.80719,0.65247,1.00036,0.00101,0.00101,0.00101
52,6421.07,0.64471,0.4041,0.85337,0.88731,0.82569,0.91816,0.71607,0.82998,0.618,1.0079,0.0009902,0.0009902,0.0009902
53,6515.15,0.64187,0.39129,0.86491,0.88903,0.79795,0.89869,0.70812,0.8176,0.74467,1.0148,0.0009704,0.0009704,0.0009704
54,6608.78,0.64374,0.39733,0.86066,0.94491,0.77749,0.89659,0.70274,0.83691,0.70879,1.01669,0.0009506,0.0009506,0.0009506
55,6702.1,0.63158,0.38689,0.85716,0.92215,0.81074,0.90786,0.7307,0.83682,0.77256,1.00638,0.0009308,0.0009308,0.0009308
56,6795.06,0.65177,0.40735,0.86339,0.88472,0.84655,0.91097,0.73271,0.77593,0.64324,0.97887,0.000911,0.000911,0.000911
57,6887.41,0.63515,0.3924,0.86022,0.90567,0.83489,0.91018,0.72669,0.79228,0.6525,0.99066,0.0008912,0.0008912,0.0008912
58,6981.1,0.63123,0.38745,0.86019,0.89917,0.82105,0.92148,0.72929,0.81191,0.66181,0.99736,0.0008714,0.0008714,0.0008714
59,7072.97,0.64035,0.397,0.86006,0.92454,0.7954,0.90503,0.72696,0.81907,0.69759,0.99261,0.0008516,0.0008516,0.0008516
60,7163.27,0.63988,0.39181,0.86075,0.94582,0.75905,0.87461,0.71388,0.78936,0.89096,0.9889,0.0008318,0.0008318,0.0008318
61,7251.83,0.62619,0.3866,0.85686,0.92031,0.76797,0.85659,0.6936,0.80677,0.79765,1.00479,0.000812,0.000812,0.000812
62,7340.78,0.62914,0.38246,0.85391,0.93608,0.80307,0.91446,0.73803,0.78501,0.61903,0.99847,0.0007922,0.0007922,0.0007922
63,7429.39,0.63174,0.37459,0.85879,0.91172,0.81881,0.89461,0.7198,0.8021,0.70724,0.99657,0.0007724,0.0007724,0.0007724
64,7519.12,0.62877,0.37255,0.85627,0.9032,0.78747,0.88591,0.71189,0.8149,0.72413,1.00915,0.0007526,0.0007526,0.0007526
65,7608.07,0.63813,0.38501,0.85748,0.91728,0.82247,0.90805,0.73657,0.79205,0.68224,1.0025,0.0007328,0.0007328,0.0007328
66,7696.67,0.61262,0.36118,0.85286,0.94742,0.7954,0.89925,0.72031,0.81881,0.68388,1.0121,0.000713,0.000713,0.000713
67,7785.09,0.62845,0.37455,0.86154,0.94502,0.79123,0.89632,0.72683,0.78573,0.70363,1.00278,0.0006932,0.0006932,0.0006932
68,7873.22,0.6189,0.36438,0.85532,0.94195,0.77749,0.90236,0.73009,0.79977,0.72677,1.01818,0.0006734,0.0006734,0.0006734
69,7961.67,0.60409,0.35784,0.85461,0.92686,0.76982,0.88667,0.70972,0.81535,0.80423,1.01138,0.0006536,0.0006536,0.0006536
70,8049.54,0.61099,0.37926,0.8597,0.90219,0.80307,0.9072,0.73301,0.77904,0.71236,0.99653,0.0006338,0.0006338,0.0006338
71,8137.19,0.61824,0.36809,0.85245,0.9117,0.76579,0.88571,0.70992,0.7899,0.76556,0.99113,0.000614,0.000614,0.000614
72,8224.61,0.61333,0.36242,0.85428,0.89544,0.85418,0.91494,0.7375,0.77819,0.59538,0.99839,0.0005942,0.0005942,0.0005942
73,8313.36,0.58737,0.36072,0.84137,0.91998,0.76726,0.88194,0.70576,0.79223,0.75211,1.00658,0.0005744,0.0005744,0.0005744
74,8401.32,0.60623,0.37492,0.85744,0.94522,0.75023,0.86338,0.69962,0.80595,0.87387,0.98621,0.0005546,0.0005546,0.0005546
75,8489.82,0.6056,0.36173,0.84768,0.90299,0.80939,0.89776,0.72439,0.77743,0.67455,0.98588,0.0005348,0.0005348,0.0005348
76,8577.9,0.60071,0.35858,0.85087,0.94072,0.77116,0.89063,0.72221,0.78316,0.69209,0.99283,0.000515,0.000515,0.000515
77,8666.58,0.59104,0.3466,0.84638,0.91512,0.79963,0.8981,0.72715,0.78107,0.72671,1.00126,0.0004952,0.0004952,0.0004952
78,8755.81,0.59222,0.34803,0.84542,0.87678,0.82097,0.90597,0.72984,0.78517,0.685,1.00624,0.0004754,0.0004754,0.0004754
79,8883.78,0.59083,0.34795,0.84737,0.92151,0.8133,0.91416,0.74434,0.78348,0.65781,1.00637,0.0004556,0.0004556,0.0004556
80,9014.15,0.58656,0.34753,0.84788,0.94716,0.78261,0.89387,0.72857,0.77736,0.68326,0.996,0.0004358,0.0004358,0.0004358
81,9142.02,0.59035,0.34198,0.84603,0.90102,0.79157,0.88714,0.73201,0.75342,0.74041,0.9831,0.000416,0.000416,0.000416
82,9267.65,0.59688,0.35545,0.85062,0.89888,0.8184,0.88972,0.71524,0.77095,0.67292,0.98766,0.0003962,0.0003962,0.0003962
83,9398.35,0.58741,0.33801,0.84249,0.93732,0.76492,0.86773,0.71581,0.75754,0.8249,0.98501,0.0003764,0.0003764,0.0003764
84,9535.31,0.59667,0.34919,0.85014,0.92989,0.78015,0.87532,0.72396,0.7643,0.76636,0.99426,0.0003566,0.0003566,0.0003566
85,9627.3,0.5697,0.33811,0.84301,0.91277,0.77612,0.88065,0.72687,0.77328,0.75978,1.00034,0.0003368,0.0003368,0.0003368
86,9718.83,0.56351,0.32371,0.84242,0.92078,0.76215,0.87431,0.71896,0.77973,0.82031,1.00061,0.000317,0.000317,0.000317
87,9811.01,0.57911,0.33469,0.84478,0.92136,0.77907,0.89029,0.72388,0.7949,0.74371,1.00393,0.0002972,0.0002972,0.0002972
88,9902.57,0.58176,0.33885,0.84692,0.90163,0.77354,0.8778,0.71469,0.79271,0.73368,1.00321,0.0002774,0.0002774,0.0002774
89,9994.21,0.5789,0.33575,0.84656,0.9171,0.79795,0.88416,0.71661,0.78991,0.67715,1.00499,0.0002576,0.0002576,0.0002576
90,10085.3,0.55978,0.32318,0.84184,0.92488,0.80307,0.89791,0.73719,0.76008,0.63962,0.99502,0.0002378,0.0002378,0.0002378
91,10174.9,0.55654,0.32574,0.83645,0.94474,0.76982,0.87572,0.72634,0.74188,0.73623,0.98375,0.000218,0.000218,0.000218
92,10263.5,0.55077,0.31485,0.83044,0.92664,0.80767,0.90564,0.7408,0.75831,0.61804,1.00026,0.0001982,0.0001982,0.0001982
93,10352.1,0.53956,0.30561,0.83516,0.93131,0.79284,0.89176,0.72116,0.789,0.72982,1.00578,0.0001784,0.0001784,0.0001784
94,10441,0.53196,0.29671,0.83016,0.93653,0.79248,0.89031,0.72922,0.77078,0.70844,0.99931,0.0001586,0.0001586,0.0001586
95,10529.8,0.53126,0.2931,0.82673,0.92621,0.78772,0.88427,0.72305,0.77378,0.74131,1.00314,0.0001388,0.0001388,0.0001388
96,10619.5,0.53523,0.29568,0.83263,0.92931,0.7733,0.8826,0.72727,0.75992,0.79372,0.99615,0.000119,0.000119,0.000119
97,10747.7,0.52666,0.29199,0.83049,0.94139,0.78054,0.88308,0.73004,0.76001,0.75517,0.99718,9.92e-05,9.92e-05,9.92e-05
98,10855.5,0.52293,0.28772,0.82827,0.94168,0.7847,0.88638,0.73009,0.76552,0.72665,1.00112,7.94e-05,7.94e-05,7.94e-05
99,10943.9,0.52655,0.29011,0.8287,0.93506,0.77332,0.88409,0.72732,0.75512,0.74788,0.99504,5.96e-05,5.96e-05,5.96e-05
100,11034.1,0.52585,0.28923,0.82706,0.92935,0.76982,0.88335,0.72871,0.75118,0.77088,0.9924,3.98e-05,3.98e-05,3.98e-05
